АБСОЛЮТИЗИРОВАТЬ	119472-N	АБСОЛЮТНЫЙ (БЕЗУСЛОВНЫЙ)
АБСОЛЮТИЗИРОВАТЬ	124899-N	ОБОБЩИТЬ (ВЫРАЗИТЬ)
АБСОЛЮТИЗИРОВАТЬ	119603-N	АБСОЛЮТНЫЙ (ПОЛНЫЙ, СОВЕРШЕННЫЙ)
АБСОЛЮТИЗИРОВАТЬ	144586-N	ОБНУЛИТЬ
АБСОЛЮТИЗИРОВАТЬ	117448-N	НАВЕРСТАТЬ УПУЩЕННОЕ
АБСОЛЮТИЗИРОВАТЬ	120389-N	НАНИЗАТЬ (НАДЕТЬ)
АБСОЛЮТИЗИРОВАТЬ	118540-N	НАДУТЬ (НАНЕСТИ)
АБСОЛЮТИЗИРОВАТЬ	113501-N	РАСТОПТАТЬ (УНИЧТОЖИТЬ)
АБСОЛЮТИЗИРОВАТЬ	140864-N	РАЗОБРАТЬ, РАСХВАТАТЬ
АБСОЛЮТИЗИРОВАТЬ	130469-N	РАСПУТАТЬ СПУТАННОЕ
АКТИВИРОВАТЬ	118371-N	АКТИВНЫЙ, ДЕЯТЕЛЬНЫЙ
АКТИВИРОВАТЬ	106949-N	ЛЮБОЗНАТЕЛЬНОСТЬ, ПЫТЛИВОСТЬ
АКТИВИРОВАТЬ	121388-N	АКТИВ (ГРУППА ЛЮДЕЙ)
АКТИВИРОВАТЬ	121500-N	АКТИВИЗИРОВАТЬСЯ
АКТИВИРОВАТЬ	846-N	АКЦИОНИРОВАНИЕ
АКТИВИРОВАТЬ	119197-N	ПОДХВАТИТЬ НАЧАТОЕ
АКТИВИРОВАТЬ	123502-N	ПОСТУПИТЬ ПО НАЗНАЧЕНИЮ
АКТИВИРОВАТЬ	111114-N	НАКАЛИТЬСЯ, РАСКАЛИТЬСЯ
АКТИВИРОВАТЬ	114589-N	ВСПРЫГНУТЬ
АКТИВИРОВАТЬ	118288-N	НАВОДНИТЬ
АМЕРИКАНИЗИРОВАТЬ	135814-N	АМЕРИКАНИЗМ
АМЕРИКАНИЗИРОВАТЬ	143957-N	ИНТЕРНАЦИОНАЛИЗАЦИЯ
АМЕРИКАНИЗИРОВАТЬ	141461-N	МАТЕРИАЛИЗОВАТЬСЯ
АМЕРИКАНИЗИРОВАТЬ	143859-N	НОРМАЛИЗОВАТЬ
АМЕРИКАНИЗИРОВАТЬ	120389-N	НАНИЗАТЬ (НАДЕТЬ)
АМЕРИКАНИЗИРОВАТЬ	143040-N	ЕВРОПЕИЗАЦИЯ
АМЕРИКАНИЗИРОВАТЬ	118540-N	НАДУТЬ (НАНЕСТИ)
АМЕРИКАНИЗИРОВАТЬ	139312-N	ДЕКОЛОНИЗАЦИЯ
АМЕРИКАНИЗИРОВАТЬ	146962-N	МАРГИНАЛИЗАЦИЯ
